Ticker,Company Name,Year,Age(C1),DER(C2),Size(C3),Affiliation(C4),PIAC(C5),ROA(FP1),TOBIN'S Q(FP2),ROE(FP3),Asset Utilization(SCA1),VACA(IC1),VAHU(IC2),STVA(IC3),VAIC(IC4)
ADMR,ADARO MINERALS INDONESIA TBK.. PT,2021,14,3.70,30.25,0,0.67,0.16,3.98,0.76,0.48,1.106,62.569,0.984,64.659
ADMR,ADARO MINERALS INDONESIA TBK.. PT,2022,15,1.26,30.64,1,0.67,0.26,3.98,0.59,0.71,0.733,110.361,0.991,112.084
ADRO,ADARO ENERGY TBK.. PT,2012,8,1.23,31.77,1,0.67,0.06,1.34,0.13,0.56,0.944,57.857,0.983,59.784
ADRO,ADARO ENERGY TBK.. PT,2013,9,1.11,31.88,1,0.67,0.03,0.95,0.07,0.49,0.839,37.639,0.973,39.452
ADRO,ADARO ENERGY TBK.. PT,2014,10,0.97,31.96,1,0.67,0.03,0.91,0.05,0.52,0.828,37.678,0.973,39.480
ADRO,ADARO ENERGY TBK.. PT,2015,11,0.78,32.01,1,0.67,0.03,0.64,0.05,0.45,0.683,33.546,0.970,35.200
ADRO,ADARO ENERGY TBK.. PT,2016,12,0.72,32.09,1,0.67,0.05,1.04,0.09,0.39,0.512,26.319,0.962,27.793
ADRO,ADARO ENERGY TBK.. PT,2017,13,0.67,32.16,1,0.67,0.07,1.04,0.12,0.48,0.576,27.782,0.964,29.321
ADRO,ADARO ENERGY TBK.. PT,2018,14,0.64,32.28,1,0.67,0.06,0.77,0.10,0.51,0.620,27.329,0.963,28.912
ADRO,ADARO ENERGY TBK.. PT,2019,15,0.81,32.24,1,0.67,0.06,0.94,0.11,0.48,0.724,25.991,0.962,27.676
ADRO,ADARO ENERGY TBK.. PT,2020,16,0.62,32.13,1,0.67,0.03,0.89,0.04,0.40,0.545,20.758,0.952,22.254
ADRO,ADARO ENERGY TBK.. PT,2021,17,0.70,32.32,1,0.67,0.14,1.08,0.23,0.57,3.120,1.377,0.274,4.770
ADRO,ADARO ENERGY TBK.. PT,2022,18,0.65,32.76,1,0.67,0.26,1.12,0.43,0.92,1.199,86.566,0.988,88.753
AIMS,AKBAR INDO MAKMUR STIMEC TBK,2012,16,1.05,24.55,0,0.67,0.04,1.09,0.07,5.54,11.455,76.712,0.987,89.154
AIMS,AKBAR INDO MAKMUR STIMEC TBK,2014,17,0.05,23.87,0,0.67,-0.09,1.83,-0.09,1.18,1.434,15.622,0.936,17.992
AIMS,AKBAR INDO MAKMUR STIMEC TBK,2015,18,0.04,23.76,0,0.67,-0.10,2.25,-0.11,0.01,0.262,2.360,0.576,3.198
AIMS,AKBAR INDO MAKMUR STIMEC TBK,2016,19,0.02,23.56,0,0.67,-0.20,2.35,-0.21,0.03,0.231,2.512,0.602,3.345
AIMS,AKBAR INDO MAKMUR STIMEC TBK,2017,20,0.01,23.44,0,0.67,-0.11,3.62,-0.11,0.17,0.345,5.823,0.828,6.997
AIMS,AKBAR INDO MAKMUR STIMEC TBK,2018,21,0.22,23.59,0,0.00,-0.04,2.44,-0.04,0.00,0.061,3.752,0.733,4.546
AIMS,AKBAR INDO MAKMUR STIMEC TBK,2019,22,0.29,23.59,0,0.00,-0.04,2.48,-0.05,0.00,0.085,2.498,0.600,3.182
AIMS,AKBAR INDO MAKMUR STIMEC TBK,2020,23,0.63,23.76,0,0.00,-0.04,1.95,-0.07,0.23,0.473,12.996,0.923,14.392
AIMS,AKBAR INDO MAKMUR STIMEC TBK,2021,24,0.53,23.88,0,0.00,0.11,4.10,0.17,1.64,2.374,78.588,0.987,81.950
AIMS,AKBAR INDO MAKMUR STIMEC TBK,2022,25,0.88,24.10,0,0.00,0.01,2.02,0.01,1.11,2.312,7.748,0.871,10.931
AKRA,AKR CORPORINDO TBK. PT,2012,35,1.92,30.10,1,0.75,0.06,2.01,0.16,1.84,5.199,113.490,0.991,119.680
AKRA,AKR CORPORINDO TBK. PT,2013,36,1.73,30.31,1,0.75,0.04,1.79,0.12,1.53,4.053,84.649,0.988,89.689
AKRA,AKR CORPORINDO TBK. PT,2014,37,1.48,30.33,1,0.75,0.05,1.69,0.14,1.52,3.637,59.049,0.983,63.669
AKRA,AKR CORPORINDO TBK. PT,2015,38,1.09,30.35,1,0.75,0.07,2.38,0.14,1.30,2.564,45.952,0.978,49.494
AKRA,AKR CORPORINDO TBK. PT,2016,39,0.96,30.39,1,0.75,0.06,2.00,0.13,0.96,1.786,37.137,0.973,39.896
AKRA,AKR CORPORINDO TBK. PT,2017,40,0.86,30.45,1,0.67,0.07,1.98,0.13,1.09,1.893,45.796,0.978,48.667
AKRA,AKR CORPORINDO TBK. PT,2018,41,1.01,30.62,1,0.67,0.08,1.37,0.17,1.18,2.314,56.776,0.982,60.072
AKRA,AKR CORPORINDO TBK. PT,2019,42,1.13,30.70,1,0.67,0.03,1.27,0.07,1.01,2.089,46.628,0.979,49.696
AKRA,AKR CORPORINDO TBK. PT,2020,43,0.77,30.56,1,0.67,0.05,1.12,0.09,0.95,1.602,31.743,0.969,34.313
AKRA,AKR CORPORINDO TBK. PT,2021,44,1.08,30.79,1,0.67,0.05,1.22,0.10,1.09,2.180,51.047,0.980,54.208
AKRA,AKR CORPORINDO TBK. PT,2022,45,1.07,30.93,1,1.00,0.09,1.55,0.19,1.75,3.404,75.514,0.987,79.904
APEX,APEXINDO PRATAMA DUTA TBK,2013,29,14.97,29.57,1,0.67,-0.01,1.77,-0.24,0.39,5.195,6.542,0.847,12.584
APEX,APEXINDO PRATAMA DUTA TBK,2014,30,29.10,29.86,1,0.67,-0.02,1.87,-0.61,0.32,8.872,6.352,0.843,16.066
APEX,APEXINDO PRATAMA DUTA TBK,2015,31,14.30,29.88,1,0.67,0.03,1.85,0.43,0.35,3.677,4.979,0.799,9.455
APEX,APEXINDO PRATAMA DUTA TBK,2016,32,24.30,29.84,1,0.67,-0.03,1.48,-0.73,0.15,2.657,3.426,0.708,6.791
APEX,APEXINDO PRATAMA DUTA TBK,2017,33,-13.29,29.69,1,0.67,-0.18,1.69,2.18,0.13,-2.560,7.203,0.861,5.504
APEX,APEXINDO PRATAMA DUTA TBK,2018,34,-4.43,29.66,1,0.67,-0.20,1.89,0.69,0.18,-0.903,6.781,0.853,6.731
APEX,APEXINDO PRATAMA DUTA TBK,2019,35,7.90,29.57,0,0.67,0.04,1.03,0.36,0.19,1.666,4.647,0.785,7.097
APEX,APEXINDO PRATAMA DUTA TBK,2020,36,1.65,29.19,0,0.67,0.13,0.87,0.35,0.00,-0.036,-0.307,4.255,3.912
APEX,APEXINDO PRATAMA DUTA TBK,2021,37,1.73,29.26,0,0.67,0.01,1.10,0.03,0.00,0.484,4.331,0.769,5.585
APEX,APEXINDO PRATAMA DUTA TBK,2022,38,2.96,29.05,0,0.67,-0.25,0.86,-0.98,0.31,2.568,9.859,0.899,13.326
ARII,ATLAS RESOURCES TBK.. PT,2012,6,1.07,28.66,1,1.00,-0.04,2.09,-0.07,0.33,0.816,10.776,0.907,12.499
ARII,ATLAS RESOURCES TBK.. PT,2013,7,1.38,28.83,0,1.00,-0.03,1.24,-0.08,0.36,1.087,7.678,0.870,9.635
ARII,ATLAS RESOURCES TBK.. PT,2015,8,3.29,29.18,0,1.00,-0.07,1.01,-0.31,0.08,0.629,8.984,0.889,10.502
ARII,ATLAS RESOURCES TBK.. PT,2016,9,4.87,29.11,0,1.00,-0.07,1.18,-0.43,0.04,0.428,5.715,0.825,6.968
ARII,ATLAS RESOURCES TBK.. PT,2017,10,7.22,29.12,0,1.00,-0.05,1.54,-0.39,0.09,0.808,6.585,0.848,8.241
ARII,ATLAS RESOURCES TBK.. PT,2018,11,34.06,29.27,0,1.00,-0.08,1.50,-2.83,0.11,5.755,8.876,0.887,15.519
ARII,ATLAS RESOURCES TBK.. PT,2019,12,6.90,29.25,0,1.00,-0.02,1.35,-0.12,0.17,1.277,10.424,0.904,12.605
ARII,ATLAS RESOURCES TBK.. PT,2020,13,11.79,29.26,0,1.00,-0.05,1.19,-0.58,0.12,2.061,11.231,0.911,14.203
ARII,ATLAS RESOURCES TBK.. PT,2021,14,8.45,29.29,0,1.00,0.00,1.06,0.02,0.31,2.656,18.013,0.944,21.614
ARII,ATLAS RESOURCES TBK.. PT,2022,15,5.39,29.59,0,1.00,0.06,0.99,0.37,0.55,2.545,28.092,0.964,31.601
ARTI,RATU PRABU ENERGI TBK,2012,19,0.67,27.99,0,0.67,0.02,0.69,0.04,0.31,0.580,3.053,0.672,4.305
ARTI,RATU PRABU ENERGI TBK,2013,20,0.70,28.09,0,0.67,0.03,0.59,0.04,0.26,0.254,4.762,0.790,5.806
ARTI,RATU PRABU ENERGI TBK,2014,21,0.83,28.20,0,0.67,0.02,0.54,0.03,0.20,0.259,6.086,0.836,7.181
ARTI,RATU PRABU ENERGI TBK,2015,22,0.45,28.53,0,0.67,0.01,0.86,0.01,0.09,0.091,2.267,0.559,2.917
ARTI,RATU PRABU ENERGI TBK,2016,23,0.51,28.59,0,0.67,0.00,0.49,0.00,0.08,0.078,3.434,0.709,4.221
ARTI,RATU PRABU ENERGI TBK,2017,24,0.42,28.55,0,0.67,0.00,0.45,0.01,0.10,0.082,2.771,0.639,3.492
ARTI,RATU PRABU ENERGI TBK,2018,25,0.50,28.62,0,0.67,0.00,0.48,0.01,0.11,0.101,2.925,0.658,3.684
ARTI,RATU PRABU ENERGI TBK,2019,26,1.23,28.21,0,0.67,-0.56,0.77,-1.24,0.10,0.553,5.279,0.811,6.642
ARTI,RATU PRABU ENERGI TBK,2020,27,-6.48,27.47,0,0.67,-1.12,1.64,6.14,0.04,-0.426,2.316,0.568,2.458
ARTI,RATU PRABU ENERGI TBK,2021,28,-7.54,27.19,0,0.67,-0.21,1.76,1.36,0.01,-0.918,10.178,0.902,10.162
